SupplierId,ProductId,avg(TimelyDeliveries),avg(ProductQuality),avg(ValueForMoney),avg(OverallRating),avg(NumberOfReturns),avg(PricingPerUnit)
1,1,2.9076923076923076,3.0615384615384613,3.169230769230769,2.5846153846153848,25.43076923076923,4610.9384615384615
1,2,3.186046511627907,3.5813953488372094,2.697674418604651,2.5813953488372094,19.697674418604652,4871.813953488372
1,3,3.0,2.9642857142857144,3.0892857142857144,2.5,21.946428571428573,5187.928571428572
1,4,2.6538461538461537,2.8653846153846154,2.730769230769231,2.326923076923077,23.21153846153846,5367.538461538462
1,5,2.9583333333333335,2.5416666666666665,2.9166666666666665,2.2916666666666665,24.833333333333332,5794.229166666667
1,6,3.2708333333333335,3.0625,2.7708333333333335,2.5208333333333335,20.479166666666668,4886.041666666667
1,7,2.86,3.06,3.06,2.46,25.16,4895.28
1,8,3.3658536585365852,2.902439024390244,2.902439024390244,2.6097560975609757,22.975609756097562,4782.658536585366
1,9,3.0,3.1076923076923078,2.8153846153846156,2.476923076923077,26.369230769230768,5273.984615384616
1,10,2.803921568627451,2.9607843137254903,3.1176470588235294,2.411764705882353,26.80392156862745,5237.294117647059
1,11,3.0317460317460316,2.634920634920635,3.0317460317460316,2.4444444444444446,23.317460317460316,5469.571428571428
1,12,3.125,3.1964285714285716,2.875,2.5892857142857144,22.267857142857142,4643.267857142857
1,13,3.185185185185185,2.814814814814815,3.2037037037037037,2.5925925925925926,21.944444444444443,5228.037037037037
1,14,3.357142857142857,2.7857142857142856,3.0714285714285716,2.5,24.214285714285715,5390.214285714285
1,15,3.1785714285714284,3.2142857142857144,3.25,2.767857142857143,23.446428571428573,4693.339285714285
1,16,3.207547169811321,2.811320754716981,2.8679245283018866,2.4339622641509435,24.452830188679247,4843.7169811320755
1,17,2.693877551020408,3.163265306122449,3.061224489795918,2.4285714285714284,26.20408163265306,4816.877551020408
1,18,3.2142857142857144,2.982142857142857,3.142857142857143,2.6785714285714284,24.964285714285715,5724.285714285715
1,19,3.0,2.962962962962963,3.1666666666666665,2.462962962962963,23.14814814814815,5459.092592592592
1,20,3.073170731707317,2.7560975609756095,3.4146341463414633,2.5853658536585367,24.24390243902439,5310.585365853659
1,21,3.0638297872340425,3.276595744680851,2.893617021276596,2.574468085106383,20.893617021276597,5447.0
1,22,3.0555555555555554,3.0925925925925926,3.0555555555555554,2.611111111111111,24.75925925925926,4985.611111111111
1,23,2.8666666666666667,3.0,3.2,2.577777777777778,27.533333333333335,5426.0888888888885
1,24,3.150943396226415,2.4150943396226414,3.1320754716981134,2.4150943396226414,25.92452830188679,4721.2830188679245
1,25,3.1470588235294117,2.8823529411764706,2.8823529411764706,2.4411764705882355,24.764705882352942,4546.323529411765
1,26,2.978723404255319,2.765957446808511,3.25531914893617,2.5319148936170213,25.48936170212766,4894.340425531915
1,27,2.7636363636363637,2.9454545454545453,2.8545454545454545,2.418181818181818,26.90909090909091,5359.963636363636
1,28,3.1944444444444446,3.0555555555555554,2.6944444444444446,2.5,24.38888888888889,5105.916666666667
1,29,3.2653061224489797,2.4489795918367347,2.8979591836734695,2.3469387755102042,24.836734693877553,5160.551020408163
1,30,3.142857142857143,3.1904761904761907,3.3333333333333335,2.7142857142857144,27.11111111111111,4818.428571428572
1,31,3.0652173913043477,2.6956521739130435,3.130434782608696,2.5434782608695654,22.891304347826086,4567.717391304348
1,32,3.22,3.18,2.78,2.52,23.8,5170.52
1,33,3.1403508771929824,3.1403508771929824,2.807017543859649,2.526315789473684,27.385964912280702,4670.368421052632
1,34,3.0350877192982457,2.982456140350877,3.192982456140351,2.508771929824561,24.280701754385966,4894.859649122807
1,35,2.9423076923076925,3.1923076923076925,3.0,2.6153846153846154,24.923076923076923,4880.5
1,36,3.061224489795918,3.1020408163265305,3.122448979591837,2.5714285714285716,29.3265306122449,5047.081632653061
1,37,3.0256410256410255,2.769230769230769,2.923076923076923,2.3846153846153846,24.0,4706.282051282052
1,38,3.234375,3.125,2.90625,2.625,25.71875,4910.703125
1,39,2.9038461538461537,2.8461538461538463,2.8846153846153846,2.3461538461538463,27.71153846153846,4949.038461538462
1,40,3.18,3.06,2.78,2.5,23.88,5121.7
1,41,3.0545454545454547,3.036363636363636,3.036363636363636,2.5090909090909093,25.418181818181818,4661.454545454545
1,42,2.977777777777778,2.933333333333333,3.066666666666667,2.5555555555555554,25.755555555555556,4856.533333333334
1,43,3.127659574468085,2.978723404255319,2.978723404255319,2.5319148936170213,26.93617021276596,4501.234042553191
1,44,2.923076923076923,3.3076923076923075,2.9423076923076925,2.576923076923077,21.46153846153846,5255.115384615385
1,45,2.84,3.02,2.82,2.32,25.24,5156.58
1,46,3.090909090909091,3.090909090909091,2.8363636363636364,2.6,25.418181818181818,5278.181818181818
1,47,3.169811320754717,3.339622641509434,2.943396226415094,2.7547169811320753,23.49056603773585,5657.396226415094
1,48,3.245614035087719,3.2280701754385963,3.2280701754385963,2.719298245614035,28.596491228070175,5300.140350877193
1,49,2.8421052631578947,2.9473684210526314,2.8684210526315788,2.3947368421052633,24.342105263157894,4837.236842105263
1,50,3.2291666666666665,3.125,2.5625,2.5625,24.979166666666668,5208.958333333333
1,51,3.311111111111111,2.6666666666666665,3.2444444444444445,2.6222222222222222,23.31111111111111,4422.555555555556
1,52,3.269230769230769,2.9038461538461537,3.019230769230769,2.5576923076923075,24.307692307692307,4766.192307692308
1,53,3.2083333333333335,2.8958333333333335,3.0625,2.5833333333333335,25.854166666666668,5099.979166666667
1,54,3.148936170212766,3.234042553191489,2.9148936170212765,2.595744680851064,20.95744680851064,4985.595744680851
1,55,3.036363636363636,2.890909090909091,2.981818181818182,2.4363636363636365,24.87272727272727,3936.0
1,56,2.9411764705882355,2.6862745098039214,2.784313725490196,2.3137254901960786,25.607843137254903,4491.686274509804
1,57,3.2051282051282053,3.2051282051282053,3.1025641025641026,2.6153846153846154,24.76923076923077,5183.025641025641
1,58,2.519230769230769,2.730769230769231,3.0576923076923075,2.2884615384615383,23.0,5068.115384615385
1,59,3.358974358974359,3.0,2.948717948717949,2.58974358974359,23.28205128205128,5007.538461538462
1,60,3.2325581395348837,3.2790697674418605,3.0232558139534884,2.6744186046511627,28.186046511627907,5170.7441860465115
1,61,3.0416666666666665,3.4166666666666665,3.125,2.625,27.979166666666668,5302.875
1,62,3.204081632653061,3.2448979591836733,2.938775510204082,2.7346938775510203,25.632653061224488,5756.081632653061
1,63,3.2941176470588234,3.1176470588235294,2.784313725490196,2.607843137254902,25.84313725490196,4521.980392156863
1,64,3.016949152542373,2.8983050847457625,2.9322033898305087,2.4745762711864407,25.11864406779661,5137.220338983051
1,65,2.9482758620689653,3.310344827586207,3.0344827586206895,2.6206896551724137,23.56896551724138,4813.0344827586205
1,66,2.736842105263158,3.0,2.8421052631578947,2.3157894736842106,26.19298245614035,5113.3859649122805
1,67,3.1818181818181817,2.909090909090909,3.0454545454545454,2.590909090909091,28.568181818181817,4670.704545454545
1,68,3.173076923076923,2.7884615384615383,2.826923076923077,2.480769230769231,29.03846153846154,4860.307692307692
